Title,Published_date,Views,Likes,Dislikes,Comments
இவன் இன்னும் திருந்தல மாமா🤦‍♂️ - Jio Uruttu PC 🤬 | Fooling People Again!,2025-08-03T05:41:04Z,334591.0,18561.0,0.0,636.0
8000 GB Storage Upgrade - SSD vs Hard Disk 🔥 | எது போடலாம்?,2025-08-02T12:11:07Z,170933.0,10206.0,0.0,311.0
DATA Leak செய்யும் MacBook 🤬 - Microsoft vs Apple #macbook #microsoft #apple #a2darmy,2025-08-01T14:09:27Z,364439.0,26652.0,0.0,104.0
காடுகளின் Damaged Keyboard 🤬 - Repairing Defective Key #Kreo #Keyboard #a2darmy,2025-07-31T13:19:05Z,1336263.0,110906.0,0.0,217.0
காசு தரலேனா அடிப்போம்! 😤 | Tech Influencer’s Situationship Exposed ⚠,2025-07-30T12:20:57Z,438377.0,23527.0,0.0,1797.0
தங்கப் புழு🐛 - Gold Digger 🔥 #goldextraction #golddigger #a2darmy,2025-07-28T12:11:04Z,565857.0,34491.0,0.0,132.0
Gold Extraction 🔥 - We Finally Got Gold! 🔱,2025-07-27T05:41:02Z,579954.0,36960.0,0.0,1272.0
தங்கலானே - Gold Video Coming Tomorrow⚱️🔥 #gold #extraction #a2darmy,2025-07-26T13:51:08Z,1121748.0,72871.0,0.0,230.0
இதெல்லாம் ஒரு பொழப்பா? 😡 - Frnd App ❌ மாமா App ✅,2025-07-25T13:33:04Z,748269.0,39555.0,0.0,1533.0
Free Fire vs PUBG 🔥 - Battery Drain Test #mobilegame #freefire #pubgmobile #a2darmy,2025-07-24T12:04:05Z,1131823.0,94804.0,0.0,822.0
UPI BANNED🚫 - Karnataka Going Backwards?,2025-07-23T13:51:01Z,517116.0,23562.0,0.0,1253.0
தங்கம் கெடச்சுருச்சு - Mission Success 🔥 #Gold #extraction #a2darmy,2025-07-22T14:01:08Z,1183147.0,70902.0,0.0,224.0
Savings ❌ Insurance ✅ - உயிர்தான் முக்கியம்🏥 #ditto #insurance #a2darmy,2025-07-21T12:00:44Z,335838.0,27692.0,0.0,122.0
Power of Flipper Zero🔥 - Car கார் திருடும் கருவி? 🚗 😱,2025-07-20T05:41:05Z,574139.0,26517.0,0.0,749.0
Dark Side Of Food Vloggers 💀- Health Vs Money | Midnight சாப்பாடு 🍔🍕🍲,2025-07-19T12:01:04Z,561961.0,29804.0,0.0,983.0
அதிக விலை Tesla 🤑 | 40 lakh Government tax  #TESLA #A2DARMY,2025-07-18T14:16:00Z,788332.0,56289.0,0.0,318.0
தன் கையே தனக்கு உதவி 🖖! | DIY- PC Storage Upgrade #a2darmy #SSD_upgrade,2025-07-16T12:14:59Z,420216.0,31509.0,0.0,154.0
Youtuber-களுக்கு ஆப்பு-ah!😱| 2025 Rule Change Explained!,2025-07-15T12:01:05Z,420743.0,19605.0,0.0,675.0
8 Hr Charging தேவையா ? ⚡| Phone கடை Urruttu  #Lithium-ion #a2darmy,2025-07-14T12:54:57Z,1611344.0,99526.0,0.0,257.0
Women = Property?💰 - வரதட்சணை தேவையா? | Psychology Behind Dowry,2025-07-13T05:43:53Z,277662.0,15907.0,0.0,1569.0
உயிர் பிழைத்த MacBook Keyboard ☠| MacBook Keyboard Repair 🛠 #Apple #a2darmy,2025-07-12T13:50:46Z,969417.0,77298.0,0.0,174.0
வடக்கு நண்பர் @TechyMehta  உடன் Realme Roast 🔥 | The Worst Brand? 😷,2025-07-11T12:53:06Z,341774.0,20767.0,0.0,1459.0
PC DOC - ஐ ஏமாற்றிய AC கடை 😨 #AC #a2darmy,2025-07-10T14:13:11Z,297501.0,23044.0,0.0,267.0
Battery உருட்டு🔋- Silicon-Carbon Vs Li-ion Battery #Silicon #battery #a2darmy,2025-07-09T13:01:26Z,700605.0,46034.0,0.0,475.0
Smart Watch is E-Waste - உருட்டு Watch-ன் முடிவு⌚📉 | Don't Buy! 🤕,2025-07-08T12:44:27Z,439308.0,20587.0,0.0,1367.0
ஒரு CAR விலைக்கு PC ah 😱 ! PC Build with @BlackSheepTamil,2025-07-08T10:54:30Z,134637.0,10040.0,0.0,48.0
"Rs.7,00,000 PC with @BlackSheepTamil  | PC DOC vs Rj Vignesh 🥊🔥",2025-07-06T05:41:04Z,584316.0,29644.0,0.0,641.0
வடக்கு டோலியின் Gift 🎁 - SSD Upgrade 🔥 #ssd #a2darmy,2025-07-05T12:00:15Z,630405.0,41601.0,0.0,195.0
ஒன்னுமே இல்ல 🤬 - Nothing 3 Scam? #nothing #a2darmy,2025-07-04T12:31:12Z,883139.0,57963.0,0.0,311.0
உருட்டு நண்பரின் மிரட்டல் 😨 - Misusing Law ⚖️🧑‍⚖️,2025-07-02T12:35:34Z,562475.0,25717.0,0.0,1261.0
பாவம் Ganesha 😕  - Life Insurance Buying Guide (Tamil) | Term Insurance 2025,2025-06-30T12:00:03Z,349947.0,17976.0,0.0,534.0
A2D X Biriyani Man Laptop Review ft @abbishekrabi  இது Worth-ஆ 🤔 #a2d #a2darmy #lenovo,2025-06-29T05:41:08Z,644101.0,35713.0,0.0,2241.0
"கொலை செய்யப்பட்ட Blue Screen 🔪 - Windows ""BLACK SCREEN"" Error #windows #bluescreenerror",2025-06-28T14:34:54Z,597096.0,40400.0,0.0,450.0
எந்த லேப்டாப் வாங்கலாம்? - Laptop Buying Guide 2025 💻 📝,2025-06-27T12:00:16Z,524357.0,25519.0,0.0,1931.0
Car Mechanic-ஆக மாறிய PC DOC 🚗🔧 #Carrepair #Mechanic #a2darmy,2025-06-26T12:10:00Z,1818949.0,130021.0,0.0,600.0
Neeya Naana - கருப்பட்டி காபி SCAM?!! 😰 Franchise ❌ = MLM ✅,2025-06-25T14:20:22Z,1032832.0,41850.0,0.0,1769.0
ஒரு Monitor 2 லட்சமா?😨 - Asus Gaming Monitor 🖥 #Asus #Monitor #a2darmy,2025-06-24T11:36:52Z,754606.0,56488.0,0.0,240.0
Megapixel உருட்டுகள் | 12MP better then 108MP  #camera #phone,2025-06-23T14:35:17Z,1202919.0,68642.0,0.0,217.0
Vijay Mallya – India’s Billion Dollar Chor? 💰💴✈️,2025-06-22T05:41:03Z,389545.0,17593.0,0.0,605.0
