Title,Published_date,Views,Likes,Dislikes,Comments
My new mobile 😍,2025-08-02T12:30:56Z,697095.0,40234.0,0.0,309.0
காத்து Sofa Review...😂😂,2025-07-31T13:18:54Z,1742514.0,90030.0,0.0,787.0
Aura Gold app-ல தங்கம் வாங்கலாமா?,2025-07-30T13:00:44Z,163377.0,8492.0,0.0,125.0
கடுப்பேத்தும் காடுகள்...,2025-07-29T12:40:08Z,2136303.0,141124.0,0.0,722.0
உங்க Bathroom-ல பல்லி இருக்கா? 🦎🦎,2025-07-26T12:57:42Z,835528.0,36602.0,0.0,342.0
How WHITE SUGAR is Manufactured? Animal bone added? Chemicals added?,2025-07-25T13:01:05Z,160615.0,7340.0,0.0,368.0
நன்னீர்❌ உப்புநீர் ✅,2025-07-23T12:47:25Z,1318039.0,78023.0,0.0,400.0
அருமையான Product... ஆனா............😐😐,2025-07-21T15:00:39Z,2463135.0,134429.0,0.0,553.0
மார்கெட்டில் உலாவும் புது வித சூப்பர் பால்.. Gritzo Nutrition Drink... #ad,2025-07-19T13:00:47Z,74741.0,3467.0,0.0,423.0
Plastic-ல இட்லி துணியா?,2025-07-18T15:59:57Z,690488.0,41134.0,0.0,442.0
REALITY OF STREET FOODS.. தூய்மையான தெரு உணவுகள்..,2025-07-16T13:00:25Z,410261.0,18720.0,0.0,1080.0
"நார்மல் சீனி vs நாட்டு சீனி, எது சிறந்தது? கருப்பட்டி, வெல்லம், பனங்கற்கண்டு சாப்பிடலாமா?",2025-07-06T10:30:46Z,450288.0,18275.0,0.0,1246.0
Jelly-க்கு உள்ள Plastic-ஆ?,2025-07-04T13:29:41Z,1219720.0,60564.0,0.0,382.0
BLDC வாங்குறது worth-ஆ?,2025-06-28T13:06:45Z,1825400.0,82134.0,0.0,554.0
மோர் டப்பா review..😂,2025-06-26T13:52:59Z,737302.0,39890.0,0.0,285.0
நா பட்டி vs கடலை மிட்டாய்  🤷‍♂️,2025-06-24T13:33:19Z,1122841.0,73141.0,0.0,516.0
வேற லெவல் Table from காடுகள்😁😁,2025-06-20T13:03:48Z,1582806.0,64691.0,0.0,650.0
Budget-ல bubbly keyboard...😍,2025-06-18T13:36:09Z,4323050.0,156535.0,0.0,458.0
"HORLICKS vs BOOST, எது சிறந்தது?",2025-06-15T10:04:44Z,438502.0,19095.0,0.0,1140.0
"Iron பண்ற table, From காடுகள் 😁",2025-06-13T12:33:06Z,910298.0,35804.0,0.0,180.0
குலுக்கான் டி குடிச்சா Sugar வருமா?,2025-06-08T14:43:06Z,1258377.0,68773.0,0.0,523.0
கிறுக்கு ANGLE is not the same...,2025-06-03T14:40:56Z,1235162.0,68987.0,0.0,471.0
சிங்கத்தின் Dates Syrup..,2025-06-02T14:39:21Z,1599312.0,76716.0,0.0,512.0
குருட்டி vs கூசா,2025-06-01T14:08:24Z,1546267.0,80811.0,0.0,1383.0
100% இயற்கையான இளநீர்..,2025-05-31T13:41:38Z,3446268.0,156461.0,0.0,1066.0
இது தான் இயற்கையான ஜுஸ்..😄,2025-05-28T14:20:37Z,1225093.0,56491.0,0.0,514.0
1.75 கிலோ Iron Box... Easya Iron pannalam..😬,2025-05-26T13:10:59Z,1170106.0,37122.0,0.0,279.0
Nannir Water Softener உப்பை நீக்குமா? Solution for hard water problem??,2025-05-25T12:53:45Z,609607.0,29477.0,0.0,2319.0
10 ரூபாயில் தங்கம் வாங்கலாமா!! A PODCAST with N. K. ANAND (Founder of Aura Gold).,2025-05-23T13:01:56Z,298676.0,10510.0,0.0,994.0
Useful battery charger..,2025-05-19T13:27:41Z,2634600.0,130222.0,0.0,600.0
நேரத்தில் ஏமாற்றும் நல்ல இரவு கம்பெனி😲😲,2025-05-10T13:55:49Z,1615791.0,89929.0,0.0,857.0
காடுகளில் Drone Camera...,2025-05-07T12:31:06Z,970893.0,43118.0,0.0,268.0
கொடூர விளையாட்டு பொருள்..🤮🤮,2025-05-03T14:15:58Z,1645557.0,56829.0,0.0,247.0
வட நாட்டு AC...🙄,2025-04-29T13:14:28Z,1227707.0,58115.0,0.0,439.0
AC-க்கு பதிலாக புகை விடும் FAN வாங்கலாமா? Chill chill காத்து வருமா?,2025-04-27T12:31:00Z,351654.0,13869.0,0.0,575.0
ஆரோக்கியமான Chips-ஐ கண்டறியும் முறை..🤯🤯,2025-04-25T13:30:00Z,1924637.0,95796.0,0.0,600.0
ரூ.1500-ல் மிதக்கும் Table..,2025-04-22T12:31:10Z,1394401.0,58974.0,0.0,251.0
Reality of Vegetarian Products... யார நம்புறதுனே தெரியல...😢😢,2025-04-18T12:30:10Z,242356.0,10181.0,0.0,447.0
வெறும் 1299/- ரூபாய்க்கு AC-யா? உண்மை என்ன?,2025-04-13T12:30:36Z,1036164.0,39858.0,0.0,2448.0
"உயிருக்கு போராடிய குழந்தை, உதவி பண்ண நினைச்சது குத்தமா!!",2025-04-10T13:43:02Z,1285078.0,66175.0,0.0,619.0
Copper water bottle use பண்ணலாமா?,2025-04-08T13:51:26Z,1255856.0,52218.0,0.0,216.0
சிறந்த தற்காப்பு கருவி... 🥷🥷ft. @advocatevigneshmuthukumar,2025-03-29T14:17:22Z,583267.0,41673.0,0.0,461.0
சீனி நெல்லி❌ தேன் நெல்லி✅,2025-03-28T12:30:39Z,308539.0,19656.0,0.0,135.0
காடுகளில் 14 லட்சம் செலவு பண்ணிருக்கேன்.. Know your spendings through Buyhatke..,2025-03-26T12:30:47Z,85187.0,3255.0,0.0,300.0
ஆறுbit சாப்பிடலாமா? 🤐,2025-03-22T12:49:42Z,708921.0,41413.0,0.0,277.0
Service பஞ்சாயத்து with WhirlpooL washing machine..,2025-03-21T12:30:27Z,297129.0,11001.0,0.0,1153.0
காடுகளின் Customers...😒,2025-03-15T14:50:15Z,663262.0,51371.0,0.0,286.0
இந்த மிட்டாய் வாங்கி கொடுங்க...!,2025-03-13T13:30:16Z,1153582.0,72514.0,0.0,518.0
"நன்னாரி சர்பத், ஆனா நன்னாரி இல்ல...😑",2025-03-10T12:30:06Z,1290462.0,80061.0,0.0,713.0
தவள முட்டை drink..🫣,2025-03-09T13:30:27Z,1589906.0,88856.0,0.0,603.0
எது ORIGINAL பேரீச்சம்பழம்? Different type of date variety and it's benefits.,2025-03-08T12:30:07Z,1227894.0,30381.0,0.0,1679.0
வெளிநாட்டு சாமான் தரமானதா? The DARK SECRET 🤮,2025-03-07T12:29:28Z,1544209.0,97006.0,0.0,414.0
"Man vs Wild, காடுகளில் தேன் வேட்டை.. தேனீக்களுடன் விபரீத விளையாட்டு.. 😂😂",2025-03-05T12:30:36Z,211992.0,8303.0,0.0,450.0
APPLE JUICE எனும் சீனி தண்ணி..🤨,2025-03-03T12:30:19Z,3069175.0,159084.0,0.0,594.0
PROTIEN BAR உண்மை கதை என்ன? 😄😄,2025-03-02T12:33:27Z,976166.0,86914.0,0.0,370.0
NON VEG மிட்டாய் சாப்பிட்டுருக்கீங்களா? கண்டிப்பா சாப்ட்ருபீங்க..😖😖,2025-02-28T12:38:58Z,1624855.0,107459.0,0.0,635.0
வாயில் வெடிக்கும் மிட்டாய்..😧😧,2025-02-25T12:38:21Z,738068.0,49441.0,0.0,186.0
"Eat 5 நட்சத்திரம், Do Nothing... 🤣🤣",2025-02-22T12:56:10Z,629855.0,44793.0,0.0,330.0
