Title,Published_date,Views,Likes,Dislikes,Comments
Veetuku inor pudhu aalu vandhachu 😍 Shadhik Azeez,2025-08-02T16:40:23Z,2574898,144427,0,886
Really semma worth dude | Shadhik azeez,2025-08-01T17:12:24Z,1211099,47238,0,228
Semma useful bag for moms ♥️ Shadhik Azeez,2025-07-27T16:50:21Z,2539378,79332,0,291
CR7 Cristiano Ronaldo Perfume 😍🔥 Shadhik Azeez,2025-07-26T16:45:32Z,2706305,126205,0,503
Watch la caru suthi vittu paaru 😅♥️🔥 Shadhil Azeez,2025-07-25T15:40:00Z,1587707,66241,0,354
Useful but be careful 😅 Shadhik Azeez,2025-07-23T15:03:53Z,3614340,127087,0,527
Makkar pandra cooker pathi oru vartha solala 😢 Shadhik Azeez,2025-07-13T17:11:25Z,7122264,230353,0,970
Extra irkunu kuduthan adhu extra hair uh Mariduchu 😍,2025-07-12T14:32:25Z,2348326,78261,0,183
Inum 5 days dhan new baby vara podhu ♥️😍 Shadhik Azeez,2025-07-11T17:07:01Z,3027369,92035,0,423
Eyes la ice aengaaaaaaa... Shadhik azeez,2025-07-05T12:04:37Z,2708715,116212,0,367
Ivalo cheap uh fix panitan😍😅 Shadhik Azeez,2025-07-04T16:38:11Z,2549429,98697,0,571
Kandipa unga amma or wife Ku vaangi kudunga | Useful | Shadhil Azeez,2025-06-28T16:29:32Z,6464435,174424,0,427
Size la ivalo Iruka 😊 Shadhik Azeez,2025-06-25T04:29:29Z,2344064,65925,0,211
Kettu pona sauce uh scam 🥵 Ushar makkale | Shadhik Azeez,2025-06-21T16:25:20Z,6089597,222071,0,681
Apdi enna pa achieve panita ne ? Shadhik Azeez | Reen Naturals,2025-06-15T16:51:09Z,11915893,561093,0,3822
Wife ku pudikalana kalati pant la vachuka vendiya dhan 🤣,2025-06-08T15:45:14Z,6940726,239075,0,555
Podalame.. 😊✌🏻 Eid Mubarak | Shadhik Azeez,2025-06-07T04:02:42Z,2266027,94895,0,799
Leaving wife alone for first time in 5 years 😢 Shadhik Azeez,2025-05-31T16:54:23Z,7929331,353642,0,772
B Negative vachukitu aepdi positive uh Irukanga parunga 😅 Shadhik Azeez,2025-05-30T17:12:11Z,9044647,356262,0,2841
Chest of drawers fell on him 😢 Shadhik Azeez,2025-05-27T17:26:16Z,19224350,766823,0,2337
Idhuku Paruthi moota godown le irundhurkalam 😅 Shadhik Azeez,2025-05-25T17:41:05Z,6857717,173428,0,592
Rabies aedhum attack panirucha 😅 Adhu Lint roller paah | Shadhik Azeez,2025-05-24T17:35:55Z,2662846,83304,0,209
No more AC Wastage 😍 | Vera level idea | Shadhik Azeez,2025-05-23T16:48:22Z,10243220,408641,0,796
Enaku oru alpa aasa ooti pakanum nu 😅 Shadhik azeez,2025-05-22T09:32:12Z,472157,24773,0,0
Home tour ?  cha cha.. Hall tour ? cha cha.. Pinna ? Adhukum mela 😍 Shadhik Azeez,2025-05-18T15:57:10Z,189171,4077,0,344
Mechanical  lab training la apdi enntha da kilicha. 😅 Shadhik azeez,2025-05-16T17:33:13Z,5529923,250964,0,1084
"Idhu koduma illanga, husband's oda Karama 😍 Shadhik Azeez",2025-05-14T16:36:45Z,6411656,203073,0,380
Wig vachu video panuvan nenaichu kuda pakala 😅 Shadhik Azeez,2025-05-10T14:37:55Z,2397768,66947,0,279
"Mulla mullala dhan edukanum , Porula porula dhan adukanum 😅 Shadhik Azeez",2025-05-05T12:14:48Z,6172617,231510,0,405
Chithira veyil chitravadhai Seiyudhu 🥵Idhan orae Vali | Shadhik Azeez,2025-05-02T16:46:35Z,4678413,209735,0,438
#ad Indha vati amazon la vaangala aana App la vaangitan | Paid Collab,2025-04-30T06:44:52Z,2045121,100799,0,396
Best Natural Toothpaste in India | Shadhik Azeez,2025-04-29T16:30:32Z,71387,1681,0,307
Birthday gift Ku idha try panunga ladies kandipa boys Ku pudikum 😍 Shadhik Azeez,2025-04-27T17:14:39Z,1272714,55292,0,236
Flushing all cockroaches😍 adengappa ivalo VA 😍 Shadhik azeez,2025-04-26T17:18:12Z,9072787,273108,0,997
20L car la 250 Rs product maata kashtama iuku car companies Ku 😠 Shadhik Azeez,2025-04-24T16:42:50Z,8087594,251577,0,305
Online business panni ivalo sambarikalama😍 Shadhik Azeez Reen Naturals,2025-04-20T15:47:55Z,7749353,357615,0,1392
Ennada idhu odane pudhusi Mari aidichu 😍,2025-04-19T17:28:20Z,5988855,304620,0,724
Idhu ennada ice cream mari varudhu 😍,2025-04-13T11:41:45Z,4225865,142002,0,501
Under garments under estimate pannadhinga 🤣 Shadhik Azeez,2025-04-12T16:56:32Z,3684822,103129,0,385
Sugar sapdrapo matum inichucha 🤣 Wife Shadhik Azeez,2025-04-10T17:33:50Z,4867518,191065,0,519
Laser panni skin enna achu parunga 🔥 Shadhik Azeez,2025-04-06T07:34:53Z,5808952,216884,0,1530
Girls ku pudicha boys perfume 🥰 Shadhik Azeez,2025-04-05T13:03:43Z,3897981,162704,0,582
Mahalakshmi uh nalla pathukonga pa 🙏 Shadhik Azeez,2025-03-28T17:15:39Z,9490491,403827,0,1824
Uruttu Uruttu 😅 Kitchen la nalla uruttu 🤣 Shadhik Azeez,2025-03-28T05:37:58Z,1575218,67948,0,201
New bed la Sambar oothi testu 🔥🤣 Shadhik Azeez #paidcampaign,2025-03-25T12:03:30Z,5093233,224759,0,544
Adhu ungaluku sonna puriyadhu sir 🤣,2025-03-22T16:53:22Z,3214918,170463,0,378
I got my freedom 😍 Inime thooka venam 🤣 Parents pls buy this | Shadhik Azeez,2025-03-16T16:31:00Z,4450119,254757,0,510
